vendor,plan_code,channel,country_code,status,reason,checked_at,evidence_url,price_kind,amount,currency,cny_estimate,verified_at,price_source
"anthropic","claude-max-5x-monthly","app_store","ID","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/id/app/id6473753684","exact","1999000.000000","IDR","760.683468","2026-09-07T07:06:32.308Z","https://apps.apple.com/id/app/id6473753684"
"anthropic","claude-max-5x-monthly","app_store","IN","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/in/app/id6473753684","exact","12900.000000","INR","916.185273","2026-09-07T07:06:32.308Z","https://apps.apple.com/in/app/id6473753684"
"anthropic","claude-max-5x-monthly","app_store","JP","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/jp/app/id6473753684","exact","20000.000000","JPY","859.012060","2026-09-07T07:06:32.308Z","https://apps.apple.com/jp/app/id6473753684"
"anthropic","claude-max-5x-monthly","app_store","PH","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/ph/app/id6473753684","exact","7990.000000","PHP","855.864500","2026-09-07T07:06:32.308Z","https://apps.apple.com/ph/app/id6473753684"
"anthropic","claude-max-5x-monthly","app_store","SG","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/sg/app/id6473753684","exact","179.980000","SGD","953.365941","2026-09-07T07:06:32.308Z","https://apps.apple.com/sg/app/id6473753684"
"anthropic","claude-max-5x-monthly","app_store","TR","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/tr/app/id6473753684","exact","6999.990000","TRY","969.737245","2026-09-07T07:06:32.308Z","https://apps.apple.com/tr/app/id6473753684"
"anthropic","claude-max-5x-monthly","app_store","TW","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/tw/app/id6473753684","exact","3990.000000","TWD","","2026-09-07T07:06:32.308Z","https://apps.apple.com/tw/app/id6473753684"
"anthropic","claude-max-5x-monthly","app_store","US","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/us/app/id6473753684","exact","124.990000","USD","838.794533","2026-09-07T07:06:32.308Z","https://apps.apple.com/us/app/id6473753684"
"anthropic","claude-max-5x-monthly","google_play","AU","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=AU","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","BR","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=BR","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","CA","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=CA","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","GB","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=GB","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","ID","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=ID","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","IN","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=IN","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","JP","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=JP","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","PH","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=PH","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","SG","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=SG","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","TR","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=TR","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","TW","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=TW","","","","","",""
"anthropic","claude-max-5x-monthly","google_play","US","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=US","","","","","",""
"anthropic","claude-max-5x-monthly","web","AU","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-5x-monthly","web","BR","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-5x-monthly","web","CA","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-5x-monthly","web","GB","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-5x-monthly","web","ID","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-5x-monthly","web","IN","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-5x-monthly","web","JP","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-5x-monthly","web","PH","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-5x-monthly","web","SG","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-5x-monthly","web","TR","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
